unix_time,response_time
1527706826,1
,
1527706827,2
,
1527706828,1
,
1527706829,2
,
1527706830,2
,
1527706831,2
,
1527706832,2
,
1527706833,2
,
1527706834,2
,
1527706835,2
,
1527706836,2
,
1527706837,2
,
1527706838,1
,
1527706839,2
,
1527706840,2
,
1527706841,1
,
1527706842,1
,
1527706843,2
,
1527706844,2
,
1527706845,2
,
1527706846,2
,
1527706847,2
,
1527706848,2
,
1527706849,2
,
1527706850,2
,
1527706851,2
,
1527706852,2
,
1527706853,2
,
1527706854,1
,
1527706855,2
,
1527706856,1
,
1527706857,2
,
1527706858,1
,
1527706859,2
,
1527706860,2
,
1527706861,2
,
1527706862,2
,
1527706863,2
,
1527706864,2
,
1527706865,1
,
1527706866,2
,
1527706867,2
,
1527706868,2
,
1527706869,1
,
1527706870,1
,
1527706871,1
,
1527706872,1
,
1527706873,1
,
1527706874,2
,
1527706875,1
,
1527706876,1
,
1527706877,2
,
1527706878,2
,
1527706879,2
,
1527706880,2
,
1527706881,1
,
1527706882,2
,
1527706883,2
,
1527706884,2
,
1527706885,2
,
1527706886,2
,
1527706887,2
,
1527706888,2
,
1527706889,1
,
1527706890,2
,
1527706891,2
,
1527706892,2
,
1527706893,2
,
1527706894,2
,
1527706895,2
,
1527706896,2
,
1527706897,2
,
1527706899,2
,
1527706900,1
,
1527706901,2
,
1527706902,2
,
1527706903,2
,
1527706904,2
,
1527706905,1
,
1527706906,2
,
1527706907,2
,
1527706908,1
,
1527706909,2
,
1527706910,2
,
1527706911,2
,
1527706912,1
,
1527706913,1
,
1527706914,1
,
1527706915,2
,
1527706916,2
,
1527706917,2
,
1527706918,1
,
1527706919,1
,
1527706920,2
,
1527706921,1
,
1527706922,2
,
1527706923,1
,
1527706924,6
,
1527706925,2
,
1527706926,2
,
1527706927,1
,
1527706928,2
,
1527706929,2
,
1527706930,1
,
1527706931,2
,
1527706932,2
,
1527706933,2
,
1527706934,2
,
1527706935,2
,
1527706936,1
,
1527706937,2
,
1527706938,2
,
1527706939,1
,
1527706940,1
,
1527706941,2
,
1527706942,2
,
1527706943,1
,
1527706944,2
,
1527706945,1
,
1527706946,1
,
1527706947,2
,
1527706948,1
,
1527706949,2
,
1527706950,2
,
1527706951,1
,
1527706952,2
,
1527706953,1
,
1527706954,2
,
1527706955,1
,
1527706956,1
,
1527706957,1
,
1527706958,2
,
1527706959,2
,
1527706960,2
,
1527706961,2
,
1527706962,1
,
1527706963,2
,
1527706964,2
,
1527706965,2
,
1527706966,2
,
1527706967,2
,
1527706968,1
,
1527706969,1
,
1527706970,2
,
1527706971,1
,
1527706972,1
,
1527706973,2
,
1527706974,2
,
1527706975,1
,
1527706976,2
,
1527706977,2
,
1527706978,1
,
1527706979,2
,
1527706980,2
,
1527706981,2
,
1527706982,2
,
1527706983,1
,
1527706984,2
,
1527706985,2
,
1527706986,2
,
1527706987,1
,
1527706988,2
,
1527706989,2
,
1527706990,2
,
1527706991,2
,
1527706992,2
,
1527706993,2
,
1527706994,1
,
1527706995,2
,
1527706996,1
,
1527706997,2
,
1527706998,2
,
1527706999,2
,
1527707000,2
,
1527707001,1
,
1527707002,2
,
1527707003,2
,
1527707004,2
,
1527707005,2
,
1527707006,1
,
1527707007,2
,
1527707008,2
,
1527707009,2
,
1527707010,1
,
1527707011,2
,
1527707012,2
,
1527707013,2
,
1527707014,1
,
1527707015,1
,
1527707016,1
,
1527707017,1
,
1527707018,1
,
1527707019,2
,
1527707020,2
,
1527707021,1
,
1527707022,2
,
1527707023,2
,
1527707024,1
,
1527707025,2
,
1527707026,2
,
1527707027,2
,
1527707028,2
,
1527707029,1
,
1527707030,2
,
1527707031,2
,
1527707032,2
,
1527707033,2
,
1527707034,2
,
1527707035,2
,
1527707036,2
,
1527707037,2
,
1527707038,2
,
1527707039,1
,
1527707040,2
,
1527707041,1
,
1527707042,2
,
1527707043,2
,
1527707044,2
,
1527707045,1
,
1527707046,2
,
1527707047,2
,
1527707048,1
,
1527707049,1
,
1527707050,1
,
1527707051,2
,
1527707052,2
,
1527707053,2
,
1527707054,2
,
1527707055,2
,
1527707056,2
,
1527707057,2
,
1527707058,2
,
1527707059,2
,
1527707060,2
,
1527707061,2
,
1527707062,2
,
1527707063,2
,
1527707064,2
,
1527707065,1
,
1527707066,2
,
1527707067,2
,
1527707068,2
,
1527707069,1
,
1527707070,2
,
1527707071,1
,
1527707072,2
,
1527707073,2
,
1527707074,1
,
1527707075,1
,
1527707076,1
,
1527707077,2
,
1527707078,2
,
1527707079,2
,
1527707080,1
,
1527707081,2
,
1527707082,2
,
1527707083,2
,
1527707084,2
,
1527707085,2
,
1527707086,1
,
1527707087,2
,
1527707088,2
,
1527707089,1
,
1527707090,2
,
1527707091,2
,
1527707092,2
,
1527707093,1
,
1527707094,2
,
1527707095,2
,
1527707096,2
,
1527707097,1
,
1527707098,2
,
1527707099,2
,
1527707100,1
,
1527707101,2
,
1527707102,2
,
1527707103,1
,
1527707104,2
,
1527707105,1
,
1527707106,2
,
1527707107,2
,
1527707108,2
,
1527707109,1
,
1527707110,2
,
1527707111,2
,
1527707112,2
,
1527707113,2
,
1527707114,2
,
1527707115,1
,
1527707116,1
,
1527707117,1
,
1527707118,2
,
1527707119,2
,
1527707120,2
,
1527707121,2
,
1527707122,2
,
1527707123,1
,
1527707124,2
,
1527707125,1
,
1527707126,2
,
1527707127,2
,
1527707128,2
,
1527707129,2
,
1527707130,2
,
1527707131,1
,
1527707133,2
,
1527707134,1
,
1527707135,2
,
1527707136,2
,
1527707137,2
,
1527707138,2
,
1527707139,2
,
1527707140,2
,
1527707141,2
,
1527707142,2
,
1527707143,2
,
1527707144,2
,
1527707145,2
,
1527707146,2
,
1527707147,1
,
1527707148,1
,
1527707149,1
,
1527707150,2
,
1527707151,2
,
1527707152,2
,
1527707153,2
,
1527707154,1
,
